Title,Rating,Genres,Rank,Year,Air Date,Episodes,Duration,Watchers,Tags,Synopsis,Cast,Network,Review
Sponsor,,,9054,2022.0,2022.0,12,,,,"A romance thriller between four men and women running like a runaway locomotive toward different desires, including success, revenge, children and love. Lee Sun Woo, is a photographer and editor at a magazine. He keeps a burning ambition and heartfelt desire for revenge hidden behind his warm exterior. Han Chae Rin is the CEO of a cosmetics company. She is greedy and ambitious despite her success. Park Da Som is a rising actress. She does anything for success. At the same time, she struggles to protect her son who has a rare disease. She’s internally struggling between motherhood and success, and despite her cold exterior, she truly loves her ill son. Hyun Seung Hoon, Park Da Som’s husband, is an aspiring model. His life goals are to overcome poverty and failures. He dreams of succeeding in life.(Source: Naver; Soompi)","Han Chae Young, Ji Yi Soo, Kim Yun Seo, Koo Ja Sung, Lee Ji Hoon, Park Geun Hyung",MBN Viki,"Walking Down a Dark Hallway  ""Why can't people have what they want? The things were all there to content everybody; yet everybody has the wrong thing.""- Ford Madox FordAnyone who has seen this drama, will recognize it is like walking down a dark hallway. You can't be certain exactly where you are at any given moment, and whenever there is any light, it gets obscured again by another piece of the puzzle. I have no doubt that the scriptwriter's work was sabotaged by the production crew, backstage politics, censorship, and other such soul destroying production elements. At its heart, this drama was meant to be about how women can't have everything they want, no matter what kind of person they are. It's a grim idea, which I don't personally subscribe to, but it is the overarching theme here.This series couldn't decide if it wanted to be a comedic satire, or a grim and serious drama. It followed ""parasite"" in its unfounded disdain of the wealthy. The comic relief came in the form of an eccentric rapist character, a social climber, and an informer ""agent/ pimp"". All extremely dark characters, made lighter by their comedic aspects, much like in ""Parasite"". Our FL is introduced to us as an antagonist. She is a successful business woman who has never been in love. Her business is her baby. A baby she is forced to give up because she doesn't own the company, and she doesn't own the company because she is a woman. We are meant to equally dislike her because of her propensity for manipulation, and feel empathy for her on account of her traumatic life experiences and lack of love.The SFL has everything that the FL wants, or feels she is missing in life. The SFL wants what the FL has. The ML, will side with whatever woman he feels sorry for, as he is only attracted to women in distress, and as soon as a woman doesn't seem like a victim, he loses all interest in them. The ML has power, but is missing love, the SML has love, but wants power. The SML is made out to be a victim of the showbiz pimp character, even though he plainly agreed to and sought the help of the showbiz pimp in the first place.Therein lies the real problem with this drama. It doesn't know what it wants to say. It wants to be another ""Parasite"", about the rich being just as toxic as the poor, but in Parasite, the rich didn't do anything innately evil or wrong, whereas the poor were absolutely morally bankrupt, and blamed the rich for being so!The most boring characters are the static ""good"" victims. The rape victim/ crazy girlfriend, the little boy whose parents become too busy to be with him all day (fuck off, little boy), and the sister of the SML who needs to stop getting involved with her brother's life, and doesn't have a life if her own. The meek victim characters were so obnoxious, and the FL was the only one with enough backbone to tell them to fuck off, as she should. She even tells her younger brother, another victim character to fuck off by the end of the series.Through flashbacks, it is slowly revealed that all the main characters are victims of something. Some are victims of their own choices (like the SML and SFL), and some are victims of circumstances (like the FL and ML). Within the last two episodes, the story comes right off the rails entirely, so that it becomes absolutely ridiculous, in its ""ambiguous"" finale. Was the FL equal parts a victim and a perpetrator? Well, that seems to be the suggestion. She is revealed to be a Lady Macbeth character in relation to her brother. What a great character, wasted in a confused and rushed storyline. I hope to see more of this actress, and the actress that played the comic side character (David's ex-wife). I hope this isn't too strange of a comment, but, I couldn't take my eyes off the FL's mouth. I started to suspect she was wearing dentures, because she talks through her teeth. She doesn't open her mouth when she speaks, which, I'm just not used to seeing that, so it was very strange to me. It suited her character, with that closed armour, afraid of letting human emotion in or out. Anyway, I just couldn't help but make a comment about it. She's a beautiful woman, who was absolutely great in this!"
Spring Turns to Spring,,,2277,2019.0,2019.0,32,,,,"Kim Bo Mi works as a TV news anchorwoman and she only cares about herself. Lee Bom was once a popular actress, but she is now a lawmaker's wife. She focuses only on taking care of her family. Somehow these two women switch bodies.(Source: AsianWiki) ","Ahn Se Ha, Choi Byung Mo, Kim Nam Hee, Lee Jong Hyuk, Lee Yoo Ri, Uhm Ji Won",MBC,"Spring turns to spring is an unexpectedly good drama. It was funny, entertaining and witty. My only concern was that the two final episodes were just there to prolong the ending, as there was no point in repeating some scenes and trops. However, the rest of the drama was really good. The whole switching bodies, although kind of cliche at first, it really worked out here. And that's because of the two leading ladies. Never have I ever watched two people switching personalities so naturally. They changed their attituded, gestures, even way of speak to match the one the other girl would have and they were just amazing. I would suggest checking out this drama only to experiance it. Other than that, the story was nice, kind of funny, and overall entertaining."
Spy,,,7174,2015.0,2015.0,16,,,,"Hye Rim is a perfect mom inside and out. She pays a lot of attention to her children’s education. She’s also a perfect housewife who supports her husband very well. But in fact, she’s a former North Korean informant.Out of the blue, she’s assigned the mission of recruiting her son, who works for the National Intelligence Service (NIS), into espionage activity. In order to protect her son, she can do anything, even gamble her life.","Bae Jong Ok, Go Sung Hee, Jo Dal Hwan, Kim Jae Joong, Kim Min Jae, Yoo Oh Sung",KBS2,"Ever since Triangle, I have been a fan of Kim Jae Joong. He really proved he was more than a pretty face in that drama. He blew me away with his acting. I started SPY expecting to see it again. Action, romance, drama and JaeJoong. I was super excited. Unfortunately, it never, ever delivered.

The story seemed like it would be action packed, what with the spy theme and all. It wasn't. Yeah, there was fighting and shooting in most of the episodes, but how it was managed to make them so boring and uninteresting is beyond me. I literally caught myself yawning more than once while I watched this drama.

The story is supposed to be suspeseful. I never found it so. I found it repetitive and extremely predictable from episode 1. There for a while, around ep 4 or 5, I did start hoping for it to pick up and get more interesting, which it seemed to do, but only barely and then it fizzled. Also, the ending was, again, predictable and anti-climatic.

Now, I rated this a 7, which means that I did find some good qualities to redeem it a bit. #1. JaeJoong. It's not his fault the writing sucked. While he was not at his Triangle caliber, he pulled his part off very well and his performance was more than decent. #2. The music. I really enjoyed the OST for this drama, especially Reuby's Key To Her Heart. It fit the theme well. #3. Short episodes. I liked how each episode was only about 45min. each. Any longer and it would have been even more drawn out.

I would only recommend this drama to other JaeJoong fans. Like I said, his acting is decent in this. However, if you are looking to watch a well written, suspenseful, action packed spy drama, you'd do well to skip this one."
Squid Game,8.47,"Action, Drama, Mystery, Thriller",#116,2021.0,2021.0,9,60.0,157565.0,"Competition, Death, Death Game, Debt, Extreme Violence, Friends To Enemies, Game Show, Gore, Massacre, Murder, Poor Male Lead, Survival, Suspense","After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional Korean children's games against 455 other players, among them his childhood friend Cho Sang Woo. Commencing the games, the participants soon learn of the deadly consequences that come with losing.","Anupam Tripathi, Jung Ho Yeon, Lee Jung Jae, Oh Young Soo, Park Hae Soo, Wi Ha Joon",Netflix,"""The poor lacks much, but the greedy lacks more.""  It's true that humanity survives on greed and as they state, there is no greater calamity than greed. A man's greed is like a snake that wants to swallow an elephant. From the synopsis, this drama might look like a survival game to you, but it's much more than that. Somehow, despite it's message the drama is just mediocre. Watch it with a major TRIGGER WARNING, if you are sensitive to gore and dark elements. Squid game (Ojingeo) is an age old Korean game meant for kids where you have to play within marked boundaries with certain designated titles. You have to secure your title by hoping on one leg first and if you reach a certian point, you become the ""Royal Inspector"" who can use it's both legs. Now you have to just defense the opponent by any means and reach the peak to win. The drama uses this game as the main objective through a flashback in the beginning which is also the destination of the story journeying through sets of several games.Ki Hoon (Lee Jung Jae), an unemployed and divorced man in his 40s lives with his mother working as a chauffeur and huge sum of money oweing to loansharks. Sang Woo (Park Hae Soo), is an SNU graduate who lost his money through invested stocks, eventually turning into a conman. Both of them are childhood friends who loved playing squid game with others kids. Both of them come across some kind of agents who trick them into a game where they can win a huge sum of money. Not knowing what exactly the game is, both of them choose to give it a try and land up in an unsual environment with 454 others among whom Ki Hoon is the last, i.e. 456.Lee Jung Jae and Park Hae Soo are master actors in the industry which everyone is aware of. Other than them there are plenty of familiar faces as well; Jung Ho Yun, Wi Ha Joon, Heo Sung Tae, Kim Joo Ryung, Oh Young Soo are those prominent actors. There is an Indian actor Anupam Tripathi in the main character too. Other than that there are 2 very big shots in the drama with 2-3 scenes so we can call that guest roles but trust me, they are 2 of the key characters in here. You won't find them in the cast list, just to be surprised watching the drama. So go ahead, haha. The games are quite intriguing if you have not watched likes of it (Liar Games, Alice on the Borderland, etc). I wonder why the screenwriter cum director Hwang Dong Hyuk took 10 years to complete this story. I mean this drama is nothing sort of very wow or anything. Judging from all the aspects, it's just mediocre. The drama fails to provide proper side stories for the main roles in order to back their characters well. Cinematography, which is very important for dark thrillers like this, was pretty beguile, hence keeping the viewer attached. The sound ending was apt for the mood and very suitable to the scenarios. The story progression is okay but becomes out of order or inconsistent at many points, especially the last 3 episodes. Some scenes were very firm and eye-catching but still......I think all the hype about this drama lies on the fact that people here die like mere insects and as we know violence and bloodlust are what people love the most, lol. The twists are pretty predictable, particularly when you're an avid Kdrama fan, it's pretty much easier to guess the major plots of it. The finale is very lousy. The games end in the beginning of the episode and becomes slow. The lame setup towards the ending, indicating for an another season, annoyed the shit outta me. The writer-director did a very poor job in that regard as well. Soooo....overally, SQUID GAME is an average one time watch. The ending is not exactly an open one, like we can just assume on our own but in another way you might expect one in case the production hints at it. Otherwise, there is no particular and firm necessity of another season. Sure there are few questions that they left unanswered but I can't be certain about another season."
Star Struck,,,8567,2023.0,2023.0,8,,,,"When love is kept for a long time...will that feeling blossom?Seo Han Joon has been in love with his childhood friend, Jo Yoo Jae, for a long time. He knew his feelings wouldn’t be reciprocated, and it didn’t matter because he never even dreamed of confessing to him. But this time, he wanted to express his love...(Source: blupdate2020 at Twitter; edited by Khai at MyDramaList)~~ Adapted from the novel ""Star Struck"" (스타스트럭) by Ha Tae Jin (하태진).","Chae Soo Ah, Kim In Sung, Kim Yu Bin, Lee Sang Min, Park Tae In, Zuho",,"More like a glimmer rather than being starstruck  I've said it before and I'll say it again: This should have been a movie. Or, at least, been released all at once. The cut-off of many episodes felt unsatisfying and, overall, just got in the way of the flow of the story.Also, it seemed like scenes were missing, and I'm sure a longer runtime would have added more depth to it . . . However--strangely--I'm not mad about it. Maybe it's the indie vibes and solid acting that won me over and made me see past its flaws.Just about Zuho: I do have to bring up how great it was to have him, being the fairly famous K-Pop Idol he is, actually speak out against the hate he was getting for acting in a BL, and not just that, but openly voice his support, love, and respect for the LGBT+ community in his response."
Star With a Secret,,,8754,2020.0,2020.0,5,,,,"A made -for - web drama about an unusual romance between a Hallyu star and a driven entertainment reporter.He is hiding a big secret- he turns into a little boy after touching a woman. Regular exposure to the public has left him with little choice but to lie to his fans, in order to cover up his situation. The reporter has stopped at nothing in the past to land exclusive celebrity scoops, so it's no wonder she’s the one to uncover the star’s awkward predicament.  Through honest communication, she gains empathy for him, one which allows her to help him heal his heart. Will their encounter make her think twice about reporting her findings on this Hallyu star?(Source: Arirang TV)","Hoang Yen Chibi, Prae, Sung Hoon",,"Its No  Secret That This Drama Is A Waste Of Time...  First of all before saying why this drama didnt met up to many expectations of drama fans, its important to say that there were some genuinely intriguing aspects towards the show. One of the most apparent aspects of the drama was the international relationship between our Vietnamese female lead and aspiring reporter  Chi Mai ( Hong Yn Chibi) and South- Korean Hallyu Star JIN ( Sung Joon). Although it isnt out of the question for dramas to tackle international relationships or respectfully cast actors from different countries ( such as renowned South-Korean actor Lee Jong Suk being cast in the Chinese drama Jade Lover, or a young Lee Joon gis appearance in the Japanese movie with actress Aoi Miyazaki in Virgin Snow   ), it isnt a theme or relationship  which is often tackled or centralised in many typical  Asian dramas. Respectfully a lot of this can be to do with natural cultural differences and  language differences  between the two countries, and in My Secret Star there is  the evident problem of Chi Mai and JINs words being lost in translation  without Mais earphones which help to translate their conversations back and forth. On the other hand, My Secret Star was severely flawed by the aspect of story -writing and pacing. Although the show was very short, there was little to actually develop or process the relationship between our main leads. Undeniably  the main focus of the show was the supernatural element of JIN transforming into a young child when someone makes physical contact with him. In a typical cliche manner, JIN naturally discovers that he is immune to Chi Mais touch leading the two to spending more time together. This is certainly a sweet element to show within the portrayal of their relationship, however, after the few early episodes of My Secret Star, this supernatural element is nearly drawn out the picture entirely and by the ending of the drama, its magically  solved without rhyme nor reason .  It isnt necessarily that this aspect of the show shouldnt have been included, however, it was a strange move by the scriptwriters not to symbiotically use this as a  plot device  within portraying the development between the leads and challenges which allow them to grow closer  in later episodes. In addition to this  , despite JIN and Chi Mais status  as an international couple,  there were few  culture shocks or differences between the two leads  as well as general intrigue other one anothers country at all within the show. It is of course certainly not a necessary aspect to beat genuine romantic feelings, however, if a show is trying to tackle a relationship where both parties are from different countries and speak different languages, there is the natural element  of wanting to learn more about someones background. This is hardly shown in the drama and whilst JIN reveals a little bit and his past and resentments towards becoming famous, theres little explanation or actual drive as to why Chi Mai wanted to become a reporter even through revelations  of her childhood . Overall My Secret Star wasnt a show which was incredibly dire, however, poor story writing , characterisation , outfits ( particularly the Korean misrepresentation of the  gay fashionista  ) and an  inaccurate representation of international relationships, made the show incredibly cliche and a waste of time."
Start Love,,,8879,2015.0,2015.0,5,,,,‘Start love’ is a romance drama of a man and a woman in their 20’s that will depict the love story of them comically,"Jang Hee Soo, Kim Jae Rok, Kim Kyu Jong, Lee Young Bum, Maeng  Se Chang, Moon Byul",Naver TV Cast,
Start-Up,8.1,"Business, Comedy, Romance, Youth",1724,2020.0,2020.0,16,85.0,111863.0,"Artificial Intelligence, Competition, Grandma-Granddaughter Relationship, Hardworking Female Lead, Hardworking Male Lead, Love Triangle, Nice Female Lead, Raised By Grandmother, Sibling Rivalry, Unrequited Love","Set in one of the world’s most advanced tech sector, “Start Up” tells the tale of the razor-thin margins between ultimate success and abject failure. The story takes place in the fictional Sandbox Company,  where the journey of four unique people is told.After a revolving door of unfulfilling retail jobs, Seo Dal Mi is unsatisfied with the current trajectory of her life. Her soul longs for a grand adventure that sees her at the top and managing her own company. Although she does not have much to offer, she has big dreams, red hot ambition, and the soul of a pioneer.A constant source of his family's pride as a child, Nam Do San as an adult is the founder of Sam San Tech, a fledgling start-up company that is looking to transition into bigger endeavors. But a vague dream and limited ambition see his company flounder. Unknown to him, the tailwinds of fate has begun to fill up SST's sails.Han Ji Pyeong, a man who does not want to owe anyone anything, owes a large debt to one special person who helped him greatly in the past. His role in the start-up world sees him as Judge, Jury, and Executioner, as his pragmatic advice sees the futures of start-ups either rise into greatness or fall into obscurity.Tired of doing all the work, but seeing the credit go to someone else, Won In Jae yearns to prove herself in a male-dominated industry, as a capable woman who can succeed without the advantages her privileged childhood has given her.(Source: Kimsamsoom at MyDramaList)","Bae Suzy, Kang Han Na, Kim Do Wan, Kim Hae Sook, Kim Seon Ho, Nam Joo Hyuk",Netflix tvN,"Certainly Not A  Good Drama To  Start-Up...  Start Up had great potential to be a good drama from its opening  episode. Aside from having the well-known talents of Bae Suzy, Nam Joo Hyuk  and Kim Seon Ho  as our main leads , the characters undeniably had the potential to be realistic and a breath of fresh air from the stereotypical cliches of romance dramas. Yet, story progression  and cliches truly provided to be Start-Up s own worst enemy, as Park Hye Runs screenwriting began to tackle oddly immature  themes in a show tackling adult characters  , plot inconsistencies, dire characterisation and straying away nearly entirely from the main focal point of making ones own way in the world in favour of lacklustre and poorly-written romance pairings. Perhaps the two characters  who were subject to the most injustice of characterisation and story writing in the drama are strikingly   the female lead Dal Mi ( Bae Suzy) and  Kim Seon Hos character Ji Pyeong. ( Although  Nam Joo Hyuks character Nam Do San must certainly be addressed later on as the elephant in the room.) In the beginning of the series, Dal Mi was an intriguing main character; a headstrong businesswoman with an intriguing backstory , stuck in a  rival relationship  with her sister and having a driving passion to succeed in the business world  . Then, not even several episodes later, Dal Mis characterisation from an independent businesswoman with actual depth, is subverted in order to allow  her to become the staid,  obsequious and often emotionally insecure   love interest of Do San and Ji Pyeongs affections.It is important to stress that isnt the case that  Dal Mi shouldnt have had a love interest or a relationship at all within the series.  A  strong female lead can still be well-written  as an individual(regardless of her relationship  status). Instead, it is rather how this drama portrayed the baffling and incoherent relationship between Dal Mi and Do San; a pairing which was to be expected and certainly wasnt entirely  bad between the characters as individuals  ( despite notable  biased feelings of some fans). Instead, it was rather how this pairing was built upon lies, deceit, insecurity, and emotional manipulation, which was often  glossed over in favour of  cutesy couple moments between Dal Mi and Do San as the storyline progressed. Dal-Mi became the typical trope of the  golden prize for the male lead, rather than an individual with her own thoughts and feelings; a sad destruction of an otherwise  intriguing character. This naturally moves us onto the second male lead of the series , Ji Pyeong, the  preferred love interest   of Dal Mi amongst watchers of the series. As an individual , however, it was not entirely the case that  Ji-Pyeong was a   badly-written character, but rather his scenarios seemed both unjustified and questionable over the duration of the drama. Initially appearing as a solipsistic, yet successful businessman, the series brings a lot to light about Ji-Pyeong as someone who is inwardly altruistic ; hardworking in order to have escaped the poverty of his childhood, a genuine supporter who sees the  potential  of Do Sans visions and who has  constantly admired Dal Mi since childhood ( a major driving force of the series, which is sadly never explored or touched upon after its initial use). Naturally, however, Ji-Pyeongs  selflessness often leads to his downfall and consequently because he undeniably puts up a deceitful guise in front of Dal-Mi , he naturally comes out with the short end of the stick by not  getting  the girl.   Nearly from episode one, it will remain apparent for viewers that Dal Mi and Ji-Pyeong have many striking similarities both within their pasts, careers, obstacles and even personality types. Yet despite the obvious pairing which would ultimately  arise between Dal-Mi and Do San,  these similarities between both characters were neither explored or developed  within  Start-Up. Yet relationships aside (and despite the obvious flaw of his  selflessness at times), Ji-Pyeongs altruism also plays  to his advantage within arguably  allowing him to become  the most emotionally-stable character of  Start-Up . He never truly takes out his feelings upon  the SST boys ( despite their  sarcastic comments ), Dal Mi  and maintains  professionalism in the workplace, by helping Do San ( even after Do San manipulates and physically punches him) against all odds, possibly making him the one true mature,  and unspoken hero of the entire drama . Next  it is important to address  the biggest elephant in the room, the main lead of  Start-Up,  Do San. Against all odds, Do-San  is a surprisingly interesting character , but a terribly-written individual  upon all grounds. He is initially introduced under  the archetype of the  loveable and lively dork- a profound genius, lacking in social skills, with a sanguine ambiance. Naturally, this allows people to gravitate towards Do-San such as  Dal-Mi as a love interest, and Ji Pyeong as a mentor . By default, Do-San should have been someone for viewers to root for; the underdog who becomes successful,  goes through a life-changing journey and revels at the end of the series with his  important  life-lessons in business, morality and love  . Instead the irony becomes apparent within Do-Sans friendly nature becoming a facade for his insecure and often fractious personality over the course of the drama . If Ji-Pyeong is the kind-hearted and selfless soul of the series, then Do-San is the egocentric opportunist  who plays Devils Advocate in the beginning of the series, before taking advantage of Ji-Pyeongs kindness through various methods of emotional and aggressive manipulation , even  punching him once because Dal-Mi was  upset. Upon this side note of Dal-Mi, it is crucial  to bring up  what is exactly problematic about Do -sans interactions and behaviour around the female lead. The main leads personality sometimes  verged upon what is commonly known in psychology as  covert narcissism.  Many of the notable traits of covert narcissism include imposter syndrome, subtle emotional manipulation, introversion and egocentric beliefs and wild fantasies over ones own success or goals - nearly all traits present within Do -Sans character . In addition to his obvious desire towards succeeding in the business sector ,  Do- Sans greatest fantasy soon manifests through his obsession with being Dal-Mi s  protector. This is not out of selflessness or as a consequence of  helping Ji-Pyeong to look after Dal-Mi,  but a dangerous daydream which soon grows into an unhealthy obsession to  protect her through emotional vanity and manipulation . Rather than being a symbiotic process of both characters coming to grasps with their flaws and learning to heal their emotional wounds, the  relationship between Dal-Mi and Do -San was simply uncomfortable and emotionally draining for viewers. In addition to this the second female lead Seo In Jae/Won In Jae(played by Kang Han Na),felt like a character limited only to an extended background character . In Jae could have easily  supported the pacing and depth of the storyline , giving viewers a break from the prolonged and cliche  love triangle dominating the show . She  had a  surprisingly decent backstory and certainly potentially interesting  character depth,  that could have been explored in episodes focusing on her rekindled   relationship   with Dal Mi.Ultimately, however, In Jae was pushed out of the way in favour of the lacklustre paring between Do San and Dal Min; a crying shame, for a character with wasted potential . Overall, Start-Up  does tackle some  intriguing dynamics of the business world, family and a  dramatic  love triangle. However, writer Park Hye Ryun did not do justice with this  series- characters were often   poorly-written or lacked intrinsic depth, the second-half became overly reliant upon immature cliches , tropes and plot holes to  prop-up the sloping storyline, and  the main pairing was unhealthily built upon emotional gaslighting and insecurity, rather than sincere  feelings and learning to overcome these problems symbiotically . Certainly not worth investing time within if youre looking for a well-written drama ."
Starting Point of Dating,,,55508,2021.0,2021.0,7,,,,"A romantic comedy about the misunderstandings and mishaps that occur when a student on the job hunt accidentally loses her phone. Choi Soo Yeon is a spirited college student who lives with her uncle after her parents passed away in a car accident when she was young. Kye Han Sol is a charming café owner who is aloof but well-mannered, while Yoo In Hae is a musical diva who dotes on Choi Soo Yeon as if she were her own daughter.(Source: Naver, Soompi)","Choi Jung Won, Jung Jin, Kang In Soo, Kim Seung Woo, Kim Ye Ji, Oh Ha Young",,"Light and simple  A perfect drama if you want a stress-free show. Although the story is a little bit cringy it's bearable. The characters are okay, only the acting of the male lead Jung Jin (Byun Jae Hyun) i find awkward,  the acting of the female lead Choi Soo Yeon (Oh Ha Young) is also okay, but because she is paired with someone who is a little bit stiff they look cringeworthy. The side characters are good. I can't give a long review since this is a short drama. Hope to see the actors here in other shows too since a lot of them are new to me.I give this drama a 6/10.   Was this review helpful to you? Yes No Cancel"
Stealer: The Treasure Keeper,7.7,"Action, Adventure, Comedy, Mystery",3588,2023.0,2023.0,12,,,"Cultural Heritage, Double Identity, Emotionally Strong Female Lead, Heist, Physically Strong Female Lead, Physically Strong Male Lead, Police Inspector Female Lead, Police Inspector Male Lead, Staged Death, Thief Male Lead","Throughout history, the treasures of an old empire have always been the best items for thievery. A professional thief called ""Skunk"" forms an unofficial cultural heritage assets redemption team called ""Team Karma"" with a group of officials to pull off a heist to retrieve the stolen assets, a mission that is informal and illegal yet righteous in a sense. In front of them is a mission of massive proportion. Buried somewhere in Korea is a large number of cultural assets worth 30 trillion won as well as spiritual beads believed to provide eternal life. Against a group with a conscienceless purpose, Team Karma’s thrill-filled retribution starts.""Skunk"", his real name Hwang Dae Myung, is no ordinary thief. Dae Myung is an official with the Cultural Heritage Administration living a double life, a pathetic civil servant by day and a daring thief by night. When the Seoul Metropolitan Police Agency’s cultural property team recovers some of the country’s missing cultural assets, both of his lives start to unravel.  (Source: Viu, ShingetsuNews, MyDramaList)","Choi Hwa Jung, Jo Han Chul, Joo Won, Kim Jae Won, Lee Deok Hwa, Lee Joo Woo, Lee Joo Woo. Jo Han Chul",tvN,"Sometimes, you just need a lighthearted show to put on in the background and this is that show.  There are plot holes and cliches and tonal whiplash, and the show requires a high level of suspension of disbelief, but it's also fun and wacky and doesn't take itself too seriously and I thoroughly enjoyed myself even if I didn't really care about the plot at all. The overarching message about the importance of history (and who it belongs to) is compelling and timely and I loved that, for all the comedic moments, the show never forgot about its core theme. The whole cast is great but Joo Won is especially endearing as both the bumbling Hwang Dae Myung and incredibly cool and slick Skunk, and Choi Hwa-Jung is an absolute delight as Dae Myung's partner in crime and I would totally watch a prequel series all about her backstory because the brief montage we got was not nearly enough. And huge kudos to Kim Jae Chul for acting his heart out in a revenge thriller while the rest of the cast was having a blast in an adventure comedy."
Still Loving You,,,4135,2016.0,2016.0,125,,,,"The tale of former teacher and student, Oh Eun Soo and Kim Bit Na, who meet again years later after they married brothers, Yoon Soo Ho and Yoon Soo Hyun. They even become stepsisters after remarriage of their parents. ","Choi Jung Won, Kim Dong Jun, Lee Young Eun, Nam Neung Mi, Park Ha Na, Yang  Mi Kyung",KBS1,"This drama was way better then a whole lot of recent family dramas I've been watching, but it also wasn't as dramatic as most, i mean a lot of dramatic stuff went down but nothing life threateningly horrid or bloody murder attempts. so its pretty PG i thought that it was a real joy to watch with the rest of my family and it didn't really have anything my teenage kids couldn't see except some hair pulling. The whole story revolves around these two female leads who clash when they meet as teacher and student at a school, Bitna being jealous of her teacher decides to frame her for abuse and from there a whole ordeal of being fired from her first teaching job and going to jail she lives with a criminal record for the next 8 years. Later on they meet again as unlikely sister in laws and eventually more. I recommend this as a mild watch it while you can dramaenjoy ^_^"
Stock Struck,,,3947,2022.0,2022.0,12,,,,"Five people who invested in the stock market take part in a mysterious stock meeting. There, they learn about life, love, and friendships through investing in stocks.Yoo Mi Seo is set to marry very soon. She's new to investing and so far has only lost money. 33-year-old Choi Sun Woo is a man of mystery. When his shift at a convenience store ends, he climbs into an expensive import auto. Kang San focuses only on his happiness, not caring about a career or finding success. He earns a living working part-time. Jung Haeng Ja owns and operates a pig feet restaurant.After retiring from his job, Kim Jin Bae began investing in the stock market.(Source: AsianWiki)","Han Ji Eun, Hong Jong Hyun, Jang Gwang, Jung Moon Sung, Kim Sun Young, Lee Joo Won",TVING,"Educational cliche drama  Just like webdramas about almonds, this was a drama educating and encouraging ppl on stock investments. From a running man ep, it seems the new korean trend is investment so this was a cute and fun way to showcase what it feels like to invest. The losses, the addiction, and the benefits Cliches are never dead so atleast it was done a bit differently, more comedic that it didn't take itself seriously and the ending was so fulfilling honestly it's like a breath of fresh air with 22's sad endingsThe bonds were cute, han jieun was the highlight and the cherry that carried this show, the comedy fell a bit short but HJE kept it freshI like hong jong hyun and missed him in dramaland but his character did feel a bit bland, he was always too careful that he didn't feel that happy or in love. I did like his past pretrauma tho"
Straight Sassy,,,61000,2021.0,2021.0,8,,,,,"Jung Yoo Hyeon, Lee Gun chang",,
